station,lon,lat,altitude,raw_id
50968,127.9,44.54,194.6,54080
54094,129.28,44.2,267.9,54098
54353,125.3,41.44,328.4,54353
56586,103.43,27.21,1949.5,56586
56748,99.1,25.7,1653.5,56748
56751,100.11,25.42,1990.5,56751
56778,102.41,25.1,1892.4,56778
56786,103.4,25.2,1840.5,56788
56792,104.58,25.47,1649.4,56792
56856,100.52,24.28,1162.3,56856
56875,102.33,24.21,1636.7,56875
56946,99.24,23.33,1104.4,56946
56977,101.51,22.35,1119.5,56977
56985,103.23,23.23,1300.7,56985
57259,110.46,32.2,426.9,57259
57378,112.34,31.1,65.8,57378
57482,113.57,30.54,25.3,57482
57554,110.1,29.24,322.2,57554
57574,112.24,29.22,36,57574
57662,111.41,29.3,350,57662
57679,113.5,28.12,44.9,57679
57710,106.49,27.35,953.3,57713
57729,107.53,27.14,555.7,57729
57731,108.51,27.42,369.6,57736
57806,105.45,26.19,1243.3,57808
57839,109.9,26.14,568.8,57839
57853,110.38,26.44,341,57853
57872,112.3,26.53,70.4,57872
57889,113.57,26.5,835.9,57889
57912,106.38,26.8,990.9,57912
59072,112.17,24.43,112.3,59072
59117,116.7,24.18,77.5,59117
59278,112.27,23.2,41,59278
59316,116.38,23.4,6.799999999999998,59312
59485,113.21,22.32,1.1,59485
59658,110.37,21.39,31.9,59655
59663,111.58,21.52,22,59663
59758,110.22,20,9.9,59757
59849,109.5,19.2,250.9,59849
